제목, 작성자, 코드
전문가를 위한 파이썬, 루시아누 하말류, B3316273713
제대로 알고 쓰는 R 통계분석, 이윤환, B7014039221
유니티로 배우는 게임 수학, 구부키 류이치, B2485050358
러닝 리액트, 알렉스 뱅크스 ， 이브 포셀로, B3942115529
쉽고 빠르게 합격하는 COS 2급, 이연란, B4622526661
IT CookBook， Android Studio를 활용한 안드로이드 프로그래밍(개정3판), 우재남 ， 박길식, B9466155069
처음 배우는 딥러닝 수학, 와쿠이 요시유키 ， 와쿠이 사다미, B6703128448
함수형 자바스크립트, 루이스 아텐시오, B2731337630
러닝 HTTP/2, 스티븐 루딘 ， 하비에르 가르사, B1303249964
Hello Coding 파이썬, 윤인성, B8489740275
Hello Coding 프로그래밍, Pope Kim, B6832340619
프로그래머 첫걸음, 코리 알트호프, B8883755111
코딩셰프의 3분 딥러닝， 케라스맛, 김성진(코딩셰프), B6313947129
IT CookBook， 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍, 김화수, B5011871658
SWedu， 파이선으로 쉽게 배우는 프로그래밍 입문, 조인석, B5142076444
고대유적지 여신상의 보석을 되찾아라, 유경선 ， 김미선(그림), B2497312898
IT CookBook， 단계별로 배우는 안드로이드 프로그래밍, 김선우, B1386490527
Head First Python， 개정판, 폴 배리, B1306099216
IT CookBook， C 언어 트레이닝, 김상형, B5788205152
IT CookBook，  파이썬 for Beginner, 우재남, B7672626232
만들면서 배우는 유니티 VR 게임 개발, 김광일 ， 김도윤, B3889202892
이펙티브 C#(3판), 빌 와그너, B8349603240
개발자를 위한 파이썬, 윤웅식, B7329046703
스프링4 입문, 하세가와 유이치 ， 오오노 와타루 ， 토키 코헤이, B9146679987
처음 만나는 Vulkan, 파르민더 싱, B9036855727
파이썬 데이터 분석 입문, 클린턴 브라운리, B9202482281
SWedu， 비트브릭, 김경하 ， 박승미 ， 최선경 ， 이민아 ， 김진선 ， 강병수 ， 이신영, B9711373925
놀이동산의 슈퍼컴퓨터를 작동시켜라, 유경선 ， (그림) 김미선, B4450549182
스위프트 프로그래밍 2판, 야곰, B2206901403
처음 배우는 머신러닝, 김승연 ， 정용주, B8660115730
골빈해커의 3분 딥러닝, 김진중(골빈해커), B7257101308
RxJava 프로그래밍, 유동환 ， 박정준, B3448548347
손으로 익히며 배우는 네트워크 첫걸음, Gene, B5316298203
실전 AWS 워크북, 가와카미 아키히사, B3875088991
아파치 스파크 입문, 사루타 고스케 ， 도바시 마사루 ， 요시다 고요 ， 사사키 도루 ， 쓰즈키 마사요시, B3640024966
햄버거 성의 셰프봇을 작동시켜라!, 유경선 ， (그림) 김미선, B3306168746
IT CookBook， 쉽게 배우는 자바 프로그래밍, 우종정, B9019372548
자바스크립트 프로젝트북, 권대용, B8907454397
창의적인 문제 해결 능력을 키워주는 IT 퍼즐, 김종훈 ， 김병수 ， 김태훈 ， 양영훈 ， 오정철 ， 현동림, B9031443562
함수형 반응형 프로그래밍, 스티븐 블랙히스 ， 앤서니 존스, B3673113778
IT CookBook， 차세대 웹 프로그래밍, 홍성용, B8304303948
You Don’t Know JS : this와 객체 프로토타입， 비동기와 성능, 카일 심슨, B7156943021
IT CookBook， 유닉스 시스템 프로그래밍, 이종원, B1514465563
Node.js 6.x 블루프린트, 페르난두 몬테이루, B9142191943
You Don’t Know JS : 타입과 문법， 스코프와 클로저, 카일 심슨, B8227329776
러닝 자바스크립트, 이선 브라운, B2328850940
실무에서 바로 통하는 자바, 다케다 하루키 ， 와타나베 유지 ， 사토 다이치 ， 다다 다케아키 ， 가미카와 노부히코, B9334713773
이것이 Windows Server다, 우재남, B3994603610
파이썬 라이브러리를 활용한 머신러닝, 안드레아스 뮐러 ， 세라 가이도, B6119391002
최대 성능을 위한 유니티 5 게임 프로그래밍 최적화, 크리스 디킨슨, E5677916900
IT CookBook， MFC 윈도우 프로그래밍, 강경우, B4952117452
실전 스프링 부트 워크북, 펠리페 구티에레스, B2433442478
앵귤러 첫걸음, 조우진, B3348481708
처음 배우는 인공지능, 다다 사토시, B1908490055
DirectX 12를 이용한 3D 게임 프로그래밍 입문, 프랭크 D. 루나, B5088646371
이펙티브 디버깅, 디오미디스 스피넬리스, B5607403301
나의 첫 파이썬, 에릭 마테스, B5976336809
모던 웹을 위한 JavaScript + jQuery 입문(3판), 윤인성, B6367089342
아마존 웹 서비스 인 액션, 안드레아스 비티히， 미하엘 비티히, B8513428388
POCO를 이용한 C++ 네트워크 프로그래밍, 최흥배, E2635062247
IT CookBook， C로 시작하는 컴퓨터 프로그래밍 개정3판, 문호석 ， 손명호, B5079295570
객체지향 소프트웨어 공학, 최은만, B8800508513
가상현실 이론부터 모바일， PC， 웹 개발까지 VR 첫걸음, 토니 파리시, E9500938354
신경망 첫걸음, 타리크 라시드, B1910379076
Hello Coding 그림으로 개념을 이해하는 알고리즘, 아디트야 바르가바, B5896248244
러닝 PHP, 데이비드 스클라, B8310462346
만들면서 배우는 워드프레스, 박현우, B5608198861
리버스 엔지니어링 2권(디버거 편), 이호동, B7638826095
마이크로서비스 아키텍처 구축, 샘 뉴먼, B8584207882
코드로 인프라 관리하기, 키프 모리스, B6496581381
하둡 완벽 가이드(4판), 톰 화이트, B6473892834
C#과 데이터베이스로 누구나 쉽게 주식 자동매매 시스템 만들기, 이경오, E1054933296
러스트 핵심 노트, 이보 발바르트, E2088508957
유니티로 게임을 만드는 10가지 방법, 가토 마사키, B9496563101
이것이 우분투 리눅스다, 우재남, B6815940952
밑바닥부터 시작하는 딥러닝, 사이토 고키, B8475831198
The Nature of Software Development, 론 제프리스, B2161499374
딥러닝 첫걸음, 김성필, B4370590649
